Comment,Designator, Footprint,LCSC Part Number
100n,C1 C6 C7 C12 C13 C14 C15 C16 C17 C18 C19 C20 C21 C22 C27 C28 ,0805,C49678
330n,C10 C11 ,0805,C1740
20p,C2 ,0805,C1798
10n,C23 C24 C26 ,0805,C1710
100p,C3 C4 ,0805,C1790
1n,C5 ,0805,C46653
10u,C8 C9 ,0805,C440198
2N7002,Q1 ,SOT-23-3,C8545
49k9,R10 R12 R14 R16 ,0805,C17719
1k,R22 R23 R24 R25 ,0805,C17513
220k,R26 R27 ,0805,C17556
200k,R13 R15 R17 R19 R20 R21 R28 ,0805,C17539
51k,R29 ,0805,C17737
100k,R1 R2 R3 R5 R18 R35 R36 ,0805,C17407
1k8,R30 ,0805,C17398
1M,R37 ,0805,C17514
100R,R4 ,0805,C17408
470k,R41 ,0805,C17709
270k,R43 ,0805,C17589
47k,R44 ,0805,C17713
270R,R45 ,0805,C17590
3k9,R46 ,0805,C17614
4k7,R31 R47 R49 ,0805,C17673
12k,R48 ,0805,C17444
10k,R6 R32 R33 R34 R42 ,0805,C17414
20k,R7 R8 R9 ,0805,C4328
TL072,U2 U3 U4 U5 ,SOIC-8_3.9x4.9x1.27p,C6961
